,f1_weighted,f1_0,f1_1,kind,metric,bal_acc,corpus
1,0.7167626023292542,0.7699530720710754,0.6243154406547546,gap_1250,shift_hold_p_future_before,0.7007481557334225,CND
2,0.724635124206543,0.7746288776397705,0.6377440094947815,gap_1250,shift_hold_p_future_before,0.7109987252095045,CND
3,0.7171884775161743,0.7650273442268372,0.6340425610542297,gap_1250,shift_hold_p_future_before,0.7063802219389355,CND
4,0.7241376638412476,0.7689133286476135,0.6463158130645752,gap_1250,shift_hold_p_future_before,0.7159754834202599,CND
0,0.7278991937637329,0.7771883010864258,0.6485355496406555,gap_1500,shift_hold_p_future_after,0.7139161462979482,CND
1,0.7424398064613342,0.7820163369178772,0.6787148714065552,gap_1500,shift_hold_p_future_after,0.7356824264049955,CND
2,0.7376749515533447,0.7776262164115906,0.6733466982841492,gap_1500,shift_hold_p_future_after,0.7309322033898304,CND
3,0.7280948162078857,0.7765957713127136,0.6499999761581421,gap_1500,shift_hold_p_future_after,0.7147190008920606,CND
4,0.7577532529830933,0.7894002795219421,0.7067961096763611,gap_1500,shift_hold_p_future_after,0.7579616413916146,CND
0,0.719042181968689,0.7726675271987915,0.6326963901519775,gap_1500,shift_hold_p_future_before,0.7025200713648527,CND
1,0.7316009998321533,0.77028888463974,0.6693069338798523,gap_1500,shift_hold_p_future_before,0.726471900089206,CND
2,0.7272796034812927,0.772543728351593,0.6543967127799988,gap_1500,shift_hold_p_future_before,0.716614629794826,CND
3,0.7163891792297363,0.7615176439285278,0.6437246799468994,gap_1500,shift_hold_p_future_before,0.7066012488849241,CND
4,0.7377991676330566,0.7770177721977234,0.6746506690979004,gap_1500,shift_hold_p_future_before,0.7317350579839429,CND
0,0.44999998807907104,0.75,0.0,gap_2000,shift_hold_p_future_after,0.5,CND
